comparacao,familia,n_queries,diff,p_raw,p_holm,ci_low,ci_high,significativo_holm
[baixa] bge-m3 vs bm25,banda:baixa,18,0.29073333333333334,0.0112,0.0224,0.07221666666666667,0.5092556944444444,True
[baixa] llama vs bm25,banda:baixa,18,0.41357222222222223,0.0,0.0,0.19751666666666667,0.6172777777777778,True
[baixa] minilm vs bm25,banda:baixa,18,-0.0339611111111111,0.6028,0.6028,-0.16667777777777779,0.08641111111111112,False
[media] bge-m3 vs bm25,banda:media,31,0.07818387096774194,0.2666,0.2666,-0.05914516129032258,0.20860338709677417,False
[media] llama vs bm25,banda:media,31,0.20913870967741935,0.0136,0.0272,0.04193548387096775,0.37527419354838715,True
[media] minilm vs bm25,banda:media,31,-0.21284516129032255,0.0018,0.0054,-0.35643709677419355,-0.06989354838709676,True
[alta] bge-m3 vs bm25,banda:alta,31,-0.032254838709677415,0.6426,1.0,-0.15590975806451618,0.0967741935483871,False
[alta] llama vs bm25,banda:alta,31,0.016896774193548385,0.7216,1.0,-0.0745,0.11904838709677418,False
[alta] minilm vs bm25,banda:alta,31,-0.1139774193548387,0.198,0.5940000000000001,-0.286019435483871,0.05914516129032258,False
