comparacao,familia,n_queries,diff,p_raw,p_holm,ci_low,ci_high,significativo_holm
azure_gpt-4o_compressed vs bge-m3,ranking:results_comparasion_final,80,0.21969874999999997,0.0,0.0,0.13505159375,0.30332753124999995,True
azure_gpt-4o_compressed vs ollama_llama3.2_3b_compressed_v3,ranking:results_comparasion_final,80,0.12226875000000001,0.0028,0.0056,0.04388184375000002,0.20166790624999997,True
bge-m3 vs ollama_llama3.2_3b_compressed_v3,ranking:results_comparasion_final,80,-0.09742999999999999,0.0538,0.0538,-0.19847584375,0.0016229062499998877,False
